Building ,Meter Type,Meter Number,Start Date,End Date,Year ,Usage,Units,Demand,Cost
1330 AoA,Electric,49-4152-6031-0003-5,6/21/2017,7/21/2017,2017,589600,kWh,1376.16,"$113,704.59 "
1330 AoA,Electric,49-4152-6031-0003-5,5/22/2017,6/21/2017,2017,574400,kWh,1329.12,"$101,153.43 "
1330 AoA,Electric,49-4152-6031-0003-5,4/24/2017,5/22/2017,2017,488800,kWh,1347.84,"$71,203.30 "
1330 AoA,Electric,49-4152-6031-0003-5,3/24/2017,4/24/2017,2017,503200,kWh,1215.84,"$71,350.73 "
1330 AoA,Electric,49-4152-6031-0003-5,2/23/2017,3/24/2017,2017,523200,kWh,1089.6,"$70,861.57 "
1330 AoA,Electric,49-4152-6031-0003-5,1/24/2017,2/23/2017,2017,512000,kWh,1087.68,"$77,311.87 "
1330 AoA,Electric,49-4152-6031-0003-5,12/22/2016,1/24/2017,2017,542400,kWh,1095.3,"$82,579.86 "
1330 AoA,Steam,5246469779,6/17/2020,7/17/2020,2020,2272.59,mlb,0,"$36,428.15 "
1330 AoA,Steam,5246469779,5/18/2020,6/17/2020,2020,1114.52,mlb,0,"$22,329.05 "
1330 AoA,Steam,5246469779,4/17/2020,5/18/2020,2020,1355.71,mlb,0,"$29,007.39 "
1330 AoA,Steam,5246469779,3/19/2020,4/17/2020,2020,1750.39,mlb,0,"$73,567.53 "
1330 AoA,Steam,5246469779,2/19/2020,3/19/2020,2020,2365.98,mlb,10.39,"$95,239.42 "
1330 AoA,Steam,5246469779,1/17/2020,2/19/2020,2020,3210.47,mlb,13.34,"$129,143.12 "
1330 AoA,Steam,5246469779,12/18/2019,1/17/2020,2020,2809.97,mlb,13.71,"$108,033.18 "
1330 AoA,Steam,5246469779,11/15/2019,12/18/2019,2019,2951.06,mlb,13.14,"$110,385.39 "
1330 AoA,Steam,5246469779,10/17/2019,11/15/2019,2019,1360.09,mlb,0,"$54,006.14 "
1330 AoA,Steam,5246469779,9/17/2019,10/17/2019,2019,1133.61,mlb,0,"$22,111.45 "
1330 AoA,Steam,5246469779,8/16/2019,9/17/2019,2019,2275.11,mlb,0,"$33,215.73 "
1330 AoA,Steam,5246469779,7/18/2019,8/16/2019,2019,3217.4,mlb,0,"$43,129.82 "
1330 AoA,Steam,5246469779,6/18/2019,7/18/2019,2019,3079.32,mlb,0,"$42,821.02 "
1330 AoA,Steam,5246469779,5/17/2019,6/18/2019,2019,1779.85,mlb,0,"$31,940.40 "
1330 AoA,Steam,5246469779,4/17/2019,5/17/2019,2019,1163.65,mlb,0,"$25,410.48 "
1330 AoA,Steam,5246469779,3/20/2019,4/17/2019,2019,1820.99,mlb,0,"$74,910.97 "
1330 AoA,Steam,5246469779,2/15/2019,3/20/2019,2019,3130.8,mlb,16.16,"$131,066.63 "
1330 AoA,Steam,5246469779,1/17/2019,2/15/2019,2019,3395.71,mlb,16.67,"$156,324.60 "
1330 AoA,Steam,5246469779,12/18/2018,1/17/2019,2019,2800.32,mlb,14.27,"$109,270.25 "
1330 AoA,Steam,5246469779,11/15/2018,12/18/2018,2018,3034.9,mlb,14.11,"$120,291.34 "
1330 AoA,Steam,5246469779,10/16/2018,11/15/2018,2018,1807.68,mlb,0,"$71,678.23 "
1330 AoA,Steam,5246469779,9/17/2018,10/16/2018,2018,1408.41,mlb,0,"$29,275.49 "
1330 AoA,Steam,5246469779,8/16/2018,9/17/2018,2018,2533.25,mlb,0,"$43,955.63 "
1330 AoA,Steam,5246469779,7/18/2018,8/16/2018,2018,2880.92,mlb,0,"$46,671.25 "
1330 AoA,Steam,5246469779,6/18/2018,7/18/2018,2018,2586.02,mlb,0,"$41,112.42 "
1330 AoA,Steam,5246469779,5/17/2018,6/18/2018,2018,1621.84,mlb,0,"$29,650.88 "
1330 AoA,Steam,5246469779,4/17/2018,5/17/2018,2018,1479.31,mlb,0,"$31,552.19 "
1330 AoA,Steam,5246469779,3/20/2018,4/17/2018,2018,2409.82,mlb,0,"$93,976.86 "
1330 AoA,Steam,5246469779,2/15/2018,3/20/2018,2018,2847.75,mlb,10.64,"$112,415.05 "
1330 AoA,Steam,5246469779,1/18/2018,2/15/2018,2018,2907.04,mlb,13.95,"$123,240.77 "
1330 AoA,Steam,5246469779,12/18/2017,1/18/2018,2018,4867.54,mlb,13.5,"$182,317.71 "
1330 AoA,Steam,5246469779,11/15/2017,12/18/2017,2017,2917.23,mlb,12.08,"$105,873.20 "
1330 AoA,Steam,5246469779,10/17/2017,11/15/2017,2017,1833.51,mlb,0,"$70,928.57 "
1330 AoA,Steam,5246469779,9/15/2017,10/17/2017,2017,1683.74,mlb,0,"$29,981.17 "
1330 AoA,Steam,5246469779,8/16/2017,9/15/2017,2017,1723.01,mlb,0,"$30,066.65 "
1330 AoA,Steam,5246469779,7/18/2017,8/16/2017,2017,2274.74,mlb,0,"$37,794.79 "
1330 AoA,Steam,5246469779,6/16/2017,7/18/2017,2017,2520.15,mlb,0,"$43,241.87 "
1330 AoA,Steam,5246469779,5/17/2017,6/16/2017,2017,1449.71,mlb,0,"$28,509.21 "
1330 AoA,Steam,5246469779,4/18/2017,5/17/2017,2017,1455.17,mlb,0,"$30,535.51 "
1330 AoA,Steam,5246469779,3/21/2017,4/18/2017,2017,2068.64,mlb,0,"$84,992.82 "
1330 AoA,Steam,5246469779,2/16/2017,3/21/2017,2017,3401.66,mlb,14.1,"$137,528.11 "
1330 AoA,Steam,5246469779,1/19/2017,2/16/2017,2017,3232.39,mlb,0,"$138,697.17 "
1330 AoA,Steam,5246469779,12/19/2016,1/19/2017,2017,3563.45,mlb,16.16,"$137,811.02 "
1330 AoA,Water (Basic Water & Sewer),O78591116,6/17/2020,7/17/2020,2020,2272.59,HCF,N/A,"$36,428.15 "
1330 AoA,Water (Basic Water & Sewer),O78591116,5/18/2020,6/17/2020,2020,1114.52,HCF,N/A,"$22,329.05 "
1330 AoA,Water (Basic Water & Sewer),O78591116,4/17/2020,5/18/2020,2020,1355.71,HCF,N/A,"$29,007.39 "
1330 AoA,Water (Basic Water & Sewer),O78591116,3/19/2020,4/17/2020,2020,1750.39,HCF,N/A,"$73,567.53 "
1330 AoA,Water (Basic Water & Sewer),O78591116,2/19/2020,3/19/2020,2020,2365.98,HCF,N/A,"$95,239.42 "
1330 AoA,Water (Basic Water & Sewer),O78591116,1/17/2020,2/19/2020,2020,3210.47,HCF,N/A,"$129,143.12 "
1330 AoA,Water (Basic Water & Sewer),O78591116,12/18/2019,1/17/2020,2020,2809.97,HCF,N/A,"$108,033.18 "
1330 AoA,Water (Basic Water & Sewer),O78591116,11/15/2019,12/18/2019,2019,2951.06,HCF,N/A,"$110,385.39 "
1330 AoA,Water (Basic Water & Sewer),O78591116,10/17/2019,11/15/2019,2019,1360.09,HCF,N/A,"$54,006.14 "
1330 AoA,Water (Basic Water & Sewer),O78591116,9/17/2019,10/17/2019,2019,1133.61,HCF,N/A,"$22,111.45 "
1330 AoA,Water (Basic Water & Sewer),O78591116,8/16/2019,9/17/2019,2019,2275.11,HCF,N/A,"$33,215.73 "
1330 AoA,Water (Basic Water & Sewer),O78591116,7/18/2019,8/16/2019,2019,3217.4,HCF,N/A,"$43,129.82 "
1330 AoA,Water (Basic Water & Sewer),O78591116,6/18/2019,7/18/2019,2019,3079.32,HCF,N/A,"$42,821.02 "
1330 AoA,Water (Basic Water & Sewer),O78591116,5/17/2019,6/18/2019,2019,1779.85,HCF,N/A,"$31,940.40 "
1330 AoA,Water (Basic Water & Sewer),O78591116,4/17/2019,5/17/2019,2019,1163.65,HCF,N/A,"$25,410.48 "
1330 AoA,Water (Basic Water & Sewer),O78591116,3/20/2019,4/17/2019,2019,1820.99,HCF,N/A,"$74,910.97 "
1330 AoA,Water (Basic Water & Sewer),O78591116,2/15/2019,3/20/2019,2019,3130.8,HCF,N/A,"$131,066.63 "
1330 AoA,Water (Basic Water & Sewer),O78591116,1/17/2019,2/15/2019,2019,3395.71,HCF,N/A,"$156,324.60 "
1330 AoA,Water (Basic Water & Sewer),O78591116,12/18/2018,1/17/2019,2019,2800.32,HCF,N/A,"$109,270.25 "
1330 AoA,Water (Basic Water & Sewer),O78591116,11/15/2018,12/18/2018,2018,3034.9,HCF,N/A,"$120,291.34 "
1330 AoA,Water (Basic Water & Sewer),O78591116,10/16/2018,11/15/2018,2018,1807.68,HCF,N/A,"$71,678.23 "
1330 AoA,Water (Basic Water & Sewer),O78591116,9/17/2018,10/16/2018,2018,1408.41,HCF,N/A,"$29,275.49 "
1330 AoA,Water (Basic Water & Sewer),O78591116,8/16/2018,9/17/2018,2018,2533.25,HCF,N/A,"$43,955.63 "
1330 AoA,Water (Basic Water & Sewer),O78591116,7/18/2018,8/16/2018,2018,2880.92,HCF,N/A,"$46,671.25 "
1330 AoA,Water (Basic Water & Sewer),O78591116,6/18/2018,7/18/2018,2018,2586.02,HCF,N/A,"$41,112.42 "
1330 AoA,Water (Basic Water & Sewer),O78591116,5/17/2018,6/18/2018,2018,1621.84,HCF,N/A,"$29,650.88 "
1330 AoA,Water (Basic Water & Sewer),O78591116,4/17/2018,5/17/2018,2018,1479.31,HCF,N/A,"$31,552.19 "
1330 AoA,Water (Basic Water & Sewer),O78591116,3/20/2018,4/17/2018,2018,2409.82,HCF,N/A,"$93,976.86 "
1330 AoA,Water (Basic Water & Sewer),O78591116,2/15/2018,3/20/2018,2018,2847.75,HCF,N/A,"$112,415.05 "
1330 AoA,Water (Basic Water & Sewer),O78591116,1/18/2018,2/15/2018,2018,2907.04,HCF,N/A,"$123,240.77 "
1330 AoA,Water (Basic Water & Sewer),O78591116,12/18/2017,1/18/2018,2018,4867.54,HCF,N/A,"$182,317.71 "
1330 AoA,Water (Basic Water & Sewer),O78591116,11/15/2017,12/18/2017,2017,2917.23,HCF,N/A,"$105,873.20 "
1330 AoA,Water (Basic Water & Sewer),O78591116,10/17/2017,11/15/2017,2017,1833.51,HCF,N/A,"$70,928.57 "
1330 AoA,Water (Basic Water & Sewer),O78591116,9/15/2017,10/17/2017,2017,1683.74,HCF,N/A,"$29,981.17 "
1330 AoA,Water (Basic Water & Sewer),O78591116,8/16/2017,9/15/2017,2017,1723.01,HCF,N/A,"$30,066.65 "
1330 AoA,Water (Basic Water & Sewer),O78591116,7/18/2017,8/16/2017,2017,2274.74,HCF,N/A,"$37,794.79 "
1330 AoA,Water (Basic Water & Sewer),O78591116,6/16/2017,7/18/2017,2017,2520.15,HCF,N/A,"$43,241.87 "
1330 AoA,Water (Basic Water & Sewer),O78591116,5/17/2017,6/16/2017,2017,1449.71,HCF,N/A,"$28,509.21 "
1330 AoA,Water (Basic Water & Sewer),O78591116,4/18/2017,5/17/2017,2017,1455.17,HCF,N/A,"$30,535.51 "
1330 AoA,Water (Basic Water & Sewer),O78591116,3/21/2017,4/18/2017,2017,2068.64,HCF,N/A,"$84,992.82 "
1330 AoA,Water (Basic Water & Sewer),O78591116,2/16/2017,3/21/2017,2017,3401.66,HCF,N/A,"$137,528.11 "
1330 AoA,Water (Basic Water & Sewer),O78591116,1/19/2017,2/16/2017,2017,3232.39,HCF,N/A,"$138,697.17 "
1330 AoA,Water (Basic Water & Sewer),O78591116,12/19/2016,1/19/2017,2017,3563.45,HCF,N/A,"$137,811.02 "
1330 AoA,Water (Basic Water & Sewer),O78591129,12/25/2019,3/25/2020,2020,1649,HCF,N/A,"$17,040.93 "
1330 AoA,Water (Basic Water & Sewer),O78591129,9/24/2019,12/25/2019,2019,2111,HCF,N/A,"$21,815.29 "
1330 AoA,Water (Basic Water & Sewer),O78591129,6/30/2019,9/24/2019,2019,3358,HCF,N/A,"$34,701.91 "
1330 AoA,Water (Basic Water & Sewer),O78591129,3/26/2019,6/30/2019,2019,2417,HCF,N/A,"$24,414.12 "
1330 AoA,Water (Basic Water & Sewer),O78591129,12/25/2018,3/26/2019,2019,1874,HCF,N/A,"$18,929.27 "
1330 AoA,Water (Basic Water & Sewer),O78591129,9/25/2018,12/25/2018,2018,2315,HCF,N/A,"$23,383.82 "
1330 AoA,Water (Basic Water & Sewer),O78591129,6/30/2018,9/25/2018,2018,3861,HCF,N/A,"$38,999.96 "
1330 AoA,Water (Basic Water & Sewer),O78591129,3/26/2018,6/30/2018,2018,3005,HCF,N/A,"$29,653.04 "
1330 AoA,Water (Basic Water & Sewer),O78591129,12/21/2017,3/26/2018,2018,2721,HCF,N/A,"$26,850.56 "
1330 AoA,Water (Basic Water & Sewer),O78591129,9/24/2017,12/21/2017,2017,3179,HCF,N/A,"$31,370.05 "
1330 AoA,Water (Basic Water & Sewer),O78591129,6/30/2017,9/24/2017,2017,3907,HCF,N/A,"$38,553.89 "
1330 AoA,Water (Basic Water & Sewer),O78591129,3/23/2017,6/30/2017,2017,3396,HCF,N/A,"$33,511.39 "
1330 AoA,Water (Basic Water & Sewer),O78591129,12/21/2016,3/23/2017,2017,2654,HCF,N/A,"$26,189.41 "
1330 AoA,Water (Cooling Tower),V52130407,12/25/2019,3/25/2020,2020,100,HCF,N/A,($539.25)
1330 AoA,Water (Cooling Tower),V52130407,9/24/2019,12/25/2019,2019,131,HCF,N/A,($706.42)
1330 AoA,Water (Cooling Tower),V52130407,6/30/2019,9/24/2019,2019,329,HCF,N/A,"($1,774.13)"
1330 AoA,Water (Cooling Tower),V52130407,3/26/2019,6/30/2019,2019,245,HCF,N/A,"($1,291.36)"
1330 AoA,Water (Cooling Tower),V52130407,12/25/2018,3/26/2019,2019,115,HCF,N/A,($606.15)
1330 AoA,Water (Cooling Tower),V52130407,9/25/2018,12/25/2018,2018,187,HCF,N/A,($985.65)
1330 AoA,Water (Cooling Tower),V52130407,6/30/2018,9/25/2018,2018,376,HCF,N/A,"($1,981.84)"
1330 AoA,Water (Cooling Tower),V52130407,3/26/2018,6/30/2018,2018,271,HCF,N/A,"($1,395.44)"
1330 AoA,Water (Cooling Tower),V52130407,12/21/2017,3/26/2018,2018,128,HCF,N/A,($659.10)
1330 AoA,Water (Cooling Tower),V52130407,9/24/2017,12/21/2017,2017,160,HCF,N/A,($823.87)
1330 AoA,Water (Cooling Tower),V52130407,6/30/2017,9/24/2017,2017,433,HCF,N/A,"($2,229.61)"
1330 AoA,Water (Cooling Tower),V52130407,3/23/2017,6/30/2017,2017,260,HCF,N/A,"($1,338.80)"
1330 AoA,Water (Cooling Tower),V52130407,12/21/2016,3/23/2017,2017,113,HCF,N/A,($581.86)
1330 AoA,Water (Cooling Tower),V83016575,12/25/2019,3/25/2020,2020,18,HCF,N/A,($97.06)
1330 AoA,Water (Cooling Tower),V83016575,9/24/2019,12/25/2019,2019,263,HCF,N/A,"($1,418.22)"
1330 AoA,Water (Cooling Tower),V83016575,6/30/2019,9/24/2019,2019,2345,HCF,N/A,"($12,645.38)"
1330 AoA,Water (Cooling Tower),V83016575,3/26/2019,6/30/2019,2019,946,HCF,N/A,"($4,986.22)"
1330 AoA,Water (Cooling Tower),V83016575,12/25/2018,3/26/2019,2019,15,HCF,N/A,($79.06)
1330 AoA,Water (Cooling Tower),V83016575,9/25/2018,12/25/2018,2018,328,HCF,N/A,"($1,728.84)"
1330 AoA,Water (Cooling Tower),V83016575,6/30/2018,9/25/2018,2018,2405,HCF,N/A,"($12,676.39)"
1330 AoA,Water (Cooling Tower),V83016575,3/26/2018,6/30/2018,2018,1001,HCF,N/A,"($5,154.36)"
1330 AoA,Water (Cooling Tower),V83016575,12/21/2017,3/26/2018,2018,0,HCF,N/A,$0.00 
1330 AoA,Water (Cooling Tower),V83016575,9/24/2017,12/21/2017,2017,507,HCF,N/A,"($2,610.65)"
1330 AoA,Water (Cooling Tower),V83016575,6/30/2017,9/24/2017,2017,1907,HCF,N/A,"($9,819.55)"
1330 AoA,Water (Cooling Tower),V83016575,3/23/2017,6/30/2017,2017,1121,HCF,N/A,"($5,772.27)"
1330 AoA,Water (Cooling Tower),V83016575,12/21/2016,3/23/2017,2017,1,HCF,N/A,($5.15)
1330 AoA,Water (Steam Condensate),9009-58747-001,12/18/2019,3/19/2020,2020,1344,HCF,N/A,"$5,712.73 "
1330 AoA,Water (Steam Condensate),9009-58747-001,9/17/2019,12/18/2019,2019,872,HCF,N/A,"$3,706.48 "
1330 AoA,Water (Steam Condensate),9009-58747-001,6/18/2019,9/17/2019,2019,1373,HCF,N/A,"$5,818.54 "
1330 AoA,Water (Steam Condensate),9009-58747-001,3/20/2019,6/18/2019,2019,763,HCF,N/A,"$3,170.01 "
1330 AoA,Water (Steam Condensate),9009-58747-001,11/15/2018,3/20/2019,2019,1494,HCF,N/A,"$6,207.07 "
1330 AoA,Water (Steam Condensate),9009-58747-001,9/17/2018,11/15/2018,2018,515,HCF,N/A,"$2,139.66 "
1330 AoA,Water (Steam Condensate),9009-58747-001,6/18/2018,9/17/2018,2018,1282,HCF,N/A,"$5,309.98 "
1330 AoA,Water (Steam Condensate),9009-58747-001,3/20/2018,6/18/2018,2018,883,HCF,N/A,"$3,583.92 "
1330 AoA,Water (Steam Condensate),9009-58747-001,12/18/2017,3/20/2018,2018,1702,HCF,N/A,"$6,908.07 "
1330 AoA,Water (Steam Condensate),9009-58747-001,9/15/2017,12/18/2017,2017,1031,HCF,N/A,"$4,184.61 "
1330 AoA,Water (Steam Condensate),9009-58747-001,6/16/2017,9/15/2017,2017,1044,HCF,N/A,"$4,237.38 "
1330 AoA,Water (Steam Condensate),9009-58747-001,3/21/2017,6/16/2017,2017,797,HCF,N/A,"$3,234.86 "
1330 AoA,Water (Steam Condensate),9009-58747-001,12/19/2016,3/21/2017,2017,1634,HCF,N/A,"$6,632.07 "
1285 AoA,Electric,49-4151-4011-0002-3,6/22/2020,7/22/2020,2020,2104000,kWh,4281.6,"$245,815.51 "
1285 AoA,Electric,49-4151-4011-0002-3,5/21/2020,6/22/2020,2020,1938400,kWh,4122.72,"$370,609.53 "
1285 AoA,Electric,49-4151-4011-0002-3,4/22/2020,5/21/2020,2020,1575200,kWh,3223.2,"$208,964.92 "
1285 AoA,Electric,49-4151-4011-0002-3,3/24/2020,4/22/2020,2020,1604000,kWh,3060.96,"$158,129.64 "
1285 AoA,Electric,49-4151-4011-0002-3,2/24/2020,3/24/2020,2020,1986400,kWh,4431.36,"$220,092.16 "
1285 AoA,Electric,49-4151-4011-0002-3,1/23/2020,2/24/2020,2020,2213600,kWh,4488.96,"$266,143.03 "
1285 AoA,Electric,49-4151-4011-0002-3,12/23/2019,1/23/2020,2019,2144000,kWh,4528.8,"$269,655.35 "
1285 AoA,Electric,49-4151-4011-0002-3,11/20/2019,12/23/2019,2019,2308800,kWh,4542.72,"$299,898.32 "
1285 AoA,Electric,49-4151-4011-0002-3,10/22/2019,11/20/2019,2019,2095200,kWh,4712.64,"$272,429.91 "
1285 AoA,Electric,49-4151-4011-0002-3,9/20/2019,10/22/2019,2019,2408800,kWh,5243.04,"$382,988.75 "
1285 AoA,Electric,49-4151-4011-0002-3,8/21/2019,9/20/2019,2019,2416800,kWh,5491.68,"$478,477.29 "
1285 AoA,Electric,49-4151-4011-0002-3,7/23/2019,8/21/2019,2019,2444000,kWh,5520.96,"$484,982.84 "
1285 AoA,Electric,49-4151-4011-0002-3,6/21/2019,7/23/2019,2019,2737600,kWh,5647.68,"$546,305.89 "
1285 AoA,Electric,49-4151-4011-0002-3,5/22/2019,6/21/2019,2019,2432800,kWh,5730.24,"$454,030.49 "
1285 AoA,Electric,49-4151-4011-0002-3,4/23/2019,5/22/2019,2019,2215200,kWh,5623.2,"$294,329.14 "
1285 AoA,Electric,49-4151-4011-0002-3,3/25/2019,4/23/2019,2019,2174400,kWh,5133.6,"$253,865.79 "
1285 AoA,Electric,49-4151-4011-0002-3,2/22/2019,3/25/2019,2019,2308800,kWh,4763.04,"$288,742.71 "
1285 AoA,Electric,49-4151-4011-0002-3,1/23/2019,2/22/2019,2019,2348800,kWh,4911.84,"$295,255.02 "
1285 AoA,Electric,49-4151-4011-0002-3,12/21/2018,1/23/2019,2018,2413600,kWh,4938.72,"$314,017.04 "
1285 AoA,Electric,49-4151-4011-0002-3,11/20/2018,12/21/2018,2018,2346400,kWh,4645.92,"$302,062.26 "
1285 AoA,Electric,49-4151-4011-0002-3,10/22/2018,11/20/2018,2018,2214400,kWh,5367.84,"$310,830.05 "
1285 AoA,Electric,49-4151-4011-0002-3,9/20/2018,10/22/2018,2018,2594400,kWh,5558.4,"$429,167.48 "
1285 AoA,Electric,49-4151-4011-0002-3,8/21/2018,9/20/2018,2018,2621600,kWh,5707.2,"$548,591.57 "
1285 AoA,Electric,49-4151-4011-0002-3,7/23/2018,8/21/2018,2018,2693600,kWh,5777.76,"$540,678.15 "
1285 AoA,Electric,49-4151-4011-0002-3,6/21/2018,7/23/2018,2018,2765600,kWh,5853.6,"$591,177.91 "
1285 AoA,Electric,49-4151-4011-0002-3,5/22/2018,6/21/2018,2018,2591200,kWh,5728.32,"$484,003.30 "
1285 AoA,Electric,49-4151-4011-0002-3,4/23/2018,5/22/2018,2018,2322400,kWh,5290.56,"$307,477.75 "
1285 AoA,Electric,49-4151-4011-0002-3,3/23/2018,4/23/2018,2018,2339200,kWh,4850.4,"$300,787.61 "
1285 AoA,Electric,49-4151-4011-0002-3,2/22/2018,3/23/2018,2018,2205600,kWh,4854.24,"$276,784.00 "
1285 AoA,Electric,49-4151-4011-0002-3,1/23/2018,2/22/2018,2018,2338400,kWh,5016,"$298,919.74 "
1285 AoA,Electric,49-4151-4011-0002-3,12/21/2017,1/23/2018,2017,2746400,kWh,5023.2,"$585,578.83 "
1285 AoA,Electric,49-4151-4011-0002-3,11/20/2017,12/21/2017,2017,2414400,kWh,5002.56,"$305,465.64 "
1285 AoA,Electric,49-4151-4011-0002-3,10/20/2017,11/20/2017,2017,2448800,kWh,5829.6,"$324,318.50 "
1285 AoA,Electric,49-4151-4011-0002-3,9/20/2017,10/20/2017,2017,2610400,kWh,5736.48,"$411,764.25 "
1285 AoA,Electric,49-4151-4011-0002-3,8/21/2017,9/20/2017,2017,2603200,kWh,5813.76,"$485,709.82 "
1285 AoA,Electric,49-4151-4011-0002-3,7/21/2017,8/21/2017,2017,2769600,kWh,5781.12,"$525,165.57 "
1285 AoA,Electric,49-4151-4011-0002-3,6/21/2017,7/21/2017,2017,2711200,kWh,5867.04,"$538,707.60 "
1285 AoA,Electric,49-4151-4011-0002-3,5/22/2017,6/21/2017,2017,2631200,kWh,5858.4,"$477,198.74 "
1285 AoA,Electric,49-4151-4011-0002-3,4/24/2017,5/22/2017,2017,2260000,kWh,5799.84,"$347,215.55 "
1285 AoA,Electric,49-4151-4011-0002-3,3/24/2017,4/24/2017,2017,2452000,kWh,5531.52,"$324,427.20 "
1285 AoA,Electric,49-4151-4011-0002-3,2/23/2017,3/24/2017,2017,2380000,kWh,5095.68,"$307,789.46 "
1285 AoA,Electric,49-4151-4011-0002-3,1/24/2017,2/23/2017,2017,2382400,kWh,4934.88,"$335,671.03 "
1285 AoA,Electric,49-4151-4011-0002-3,12/22/2016,1/24/2017,2016,2575200,kWh,5098.08,"$368,686.14 "
1285 AoA,Steam,4612562964,6/19/2020,7/21/2020,2020,4408.64,mlb,0,"$62,148.65 "
1285 AoA,Steam,4612562964,5/20/2020,6/19/2020,2020,3093.94,mlb,0,"$44,553.26 "
1285 AoA,Steam,4612562964,4/21/2020,5/20/2020,2020,2077.31,mlb,0,"$38,431.32 "
1285 AoA,Steam,4612562964,3/23/2020,4/21/2020,2020,2657.21,mlb,0,"$104,628.33 "
1285 AoA,Steam,4612562964,2/20/2020,3/23/2020,2020,3907.08,mlb,23.93,"$175,680.46 "
1285 AoA,Steam,4612562964,1/22/2020,2/20/2020,2020,4765.18,mlb,22.89,"$186,004.41 "
1285 AoA,Steam,4612562964,12/20/2019,1/22/2020,2020,5419.31,mlb,30.23,"$213,764.97 "
1285 AoA,Steam,4612562964,11/19/2019,12/20/2019,2019,5226.25,mlb,23.26,"$189,333.92 "
1285 AoA,Steam,4612562964,10/21/2019,11/19/2019,2019,3129.52,mlb,0,"$107,394.39 "
1285 AoA,Steam,4612562964,9/19/2019,10/21/2019,2019,2757.58,mlb,0,"$40,428.09 "
1285 AoA,Steam,4612562964,8/20/2019,9/19/2019,2019,3983.61,mlb,0,"$49,676.36 "
1285 AoA,Steam,4612562964,7/22/2019,8/20/2019,2019,5496.93,mlb,0,"$66,991.53 "
1285 AoA,Steam,4612562964,6/20/2019,7/22/2019,2019,6673.74,mlb,0,"$82,045.06 "
1285 AoA,Steam,4612562964,5/21/2019,6/20/2019,2019,2517.17,mlb,0,"$40,222.61 "
1285 AoA,Steam,4612562964,4/19/2019,5/21/2019,2019,2185.28,mlb,0,"$39,788.29 "
1285 AoA,Steam,4612562964,3/21/2019,4/19/2019,2019,3231.32,mlb,0,"$123,198.32 "
1285 AoA,Steam,4612562964,2/20/2019,3/21/2019,2019,5572.39,mlb,23.86,"$220,492.91 "
1285 AoA,Steam,4612562964,1/22/2019,2/20/2019,2019,6597.66,mlb,25.97,"$277,798.83 "
1285 AoA,Steam,4612562964,12/20/2018,1/22/2019,2019,7206.43,mlb,30.23,"$259,717.29 "
1285 AoA,Steam,4612562964,11/19/2018,12/20/2018,2018,5910.78,mlb,30.51,"$212,151.38 "
1285 AoA,Steam,4612562964,10/18/2018,11/19/2018,2018,4244.15,mlb,0,"$150,135.40 "
1285 AoA,Steam,4612562964,9/19/2018,10/18/2018,2018,2812.73,mlb,0,"$48,754.60 "
1285 AoA,Steam,4612562964,8/20/2018,9/19/2018,2018,5324.54,mlb,0,"$80,176.56 "
1285 AoA,Steam,4612562964,7/20/2018,8/20/2018,2018,5797.37,mlb,0,"$84,966.03 "
1285 AoA,Steam,4612562964,6/20/2018,7/20/2018,2018,5631.2,mlb,0,"$77,964.62 "
1285 AoA,Steam,4612562964,5/21/2018,6/20/2018,2018,2789.98,mlb,0,"$42,788.04 "
1285 AoA,Steam,4612562964,4/19/2018,5/21/2018,2018,3190.86,mlb,0,"$57,354.39 "
1285 AoA,Steam,4612562964,3/22/2018,4/19/2018,2018,4156.59,mlb,0,"$152,510.20 "
1285 AoA,Steam,4612562964,2/16/2018,3/22/2018,2018,5990.34,mlb,31.99,"$230,002.90 "
1285 AoA,Steam,4612562964,1/22/2018,2/16/2018,2018,5270.7,mlb,30.23,"$217,815.35 "
1285 AoA,Steam,4612562964,12/20/2017,1/22/2018,2018,10207.75,mlb,30.78,"$362,863.75 "
1285 AoA,Steam,4612562964,11/17/2017,12/20/2017,2017,5600.67,mlb,30.51,"$201,781.31 "
1285 AoA,Steam,4612562964,10/19/2017,11/17/2017,2017,3123.45,mlb,0,"$111,436.38 "
1285 AoA,Steam,4612562964,9/19/2017,10/19/2017,2017,3420.41,mlb,0,"$49,738.62 "
1285 AoA,Steam,4612562964,8/18/2017,9/19/2017,2017,3707.62,mlb,0,"$54,313.96 "
1285 AoA,Steam,4612562964,7/20/2017,8/18/2017,2017,5270.07,mlb,0,"$75,381.27 "
1285 AoA,Steam,4612562964,6/20/2017,7/20/2017,2017,5463.38,mlb,0,"$81,217.65 "
1285 AoA,Steam,4612562964,5/19/2017,6/20/2017,2017,3470.41,mlb,0,"$55,538.98 "
1285 AoA,Steam,4612562964,4/20/2017,5/19/2017,2017,2912.04,mlb,0,"$51,845.36 "
1285 AoA,Steam,4612562964,3/23/2017,4/20/2017,2017,3714.62,mlb,0,"$142,363.77 "
1285 AoA,Steam,4612562964,2/17/2017,3/23/2017,2017,6921.22,mlb,36.07,"$273,426.02 "
1285 AoA,Steam,4612562964,1/20/2017,2/17/2017,2017,6383.9,mlb,30.27,"$247,579.64 "
1285 AoA,Steam,4612562964,12/21/2016,1/20/2017,2017,6308.12,mlb,33.15,"$243,380.92 "
